T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
583,Micronesia (Fed. States of),2021,Domestic general government health expenditure (% of total government expenditure),2.6,Provisional data.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
492,Monaco,2005,Current health expenditure (% of GDP),4.5,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
492,Monaco,2010,Current health expenditure (% of GDP),5.0,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
492,Monaco,2015,Current health expenditure (% of GDP),4.3,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
492,Monaco,2019,Current health expenditure (% of GDP),3.9,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
492,Monaco,2020,Current health expenditure (% of GDP),4.3,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
492,Monaco,2021,Current health expenditure (% of GDP),3.7,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
492,Monaco,2005,Domestic general government health expenditure (% of total government expenditure),16.8,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
492,Monaco,2010,Domestic general government health expenditure (% of total government expenditure),19.5,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
492,Monaco,2015,Domestic general government health expenditure (% of total government expenditure),17.2,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
492,Monaco,2019,Domestic general government health expenditure (% of total government expenditure),14.5,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
492,Monaco,2020,Domestic general government health expenditure (% of total government expenditure),12.3,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
492,Monaco,2021,Domestic general government health expenditure (% of total government expenditure),13.6,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
496,Mongolia,2005,Current health expenditure (% of GDP),3.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
496,Mongolia,2010,Current health expenditure (% of GDP),3.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
496,Mongolia,2015,Current health expenditure (% of GDP),4.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
496,Mongolia,2019,Current health expenditure (% of GDP),4.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
496,Mongolia,2020,Current health expenditure (% of GDP),4.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
496,Mongolia,2021,Current health expenditure (% of GDP),6.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
496,Mongolia,2005,Domestic general government health expenditure (% of total government expenditure),9.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
496,Mongolia,2010,Domestic general government health expenditure (% of total government expenditure),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
496,Mongolia,2015,Domestic general government health expenditure (% of total government expenditure),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
496,Mongolia,2019,Domestic general government health expenditure (% of total government expenditure),6.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
496,Mongolia,2020,Domestic general government health expenditure (% of total government expenditure),6.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
496,Mongolia,2021,Domestic general government health expenditure (% of total government expenditure),12.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
499,Montenegro,2015,Current health expenditure (% of GDP),9.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
499,Montenegro,2019,Current health expenditure (% of GDP),8.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
499,Montenegro,2020,Current health expenditure (% of GDP),11.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
499,Montenegro,2021,Current health expenditure (% of GDP),10.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
499,Montenegro,2015,Domestic general government health expenditure (% of total government expenditure),11.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
499,Montenegro,2019,Domestic general government health expenditure (% of total government expenditure),11.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
499,Montenegro,2020,Domestic general government health expenditure (% of total government expenditure),13.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
499,Montenegro,2021,Domestic general government health expenditure (% of total government expenditure),14.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
504,Morocco,2005,Current health expenditure (% of GDP),4.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
504,Morocco,2010,Current health expenditure (% of GDP),5.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
504,Morocco,2015,Current health expenditure (% of GDP),5.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
504,Morocco,2019,Current health expenditure (% of GDP),5.0,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
504,Morocco,2020,Current health expenditure (% of GDP),5.8,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
